Header,Value
Crop,Wheat
Current Area (million ha),31.62
Current Production (million tonnes),109.52
Share in Global Production (%),13.64
National Productivity (kg/ha, 2020-21 Rabi),3464

Year,Area (million ha),Production (million tonnes),Productivity (kg/ha)
1904-1905,11.51,9.72,845

Important Wheat Varieties (Early),Pusa4; Pusa6
Rust Resistant Varieties,NP783; NP784; NP785; NP786; NP789; NP790
Other Resistant Variety,NP809 (resistant to all three rusts and loose smut)

Programme,Year,Headquarters
All India Coordinated Wheat Improvement Project (AICWIP),1965,Indian Agricultural Research Institute (IARI), New Delhi

High Yielding Varieties Developed,C 306; HD 2009; WL 711; UP 262; HUW 234; HD 2189; WH 147; Lok1; HD 617; HD 2285; HD 2329; PBW 343; Raj 3765; PBW 502; HD 2733; DBW 17; PBW 550; GW 273; GW 322; GW 496; HD 2967; HD 3086; DBW 187; WB 2 (bread wheat); Raj 1555; PBW 34; H 8498; PDW 233 (durum wheat)

Improvement (1964-65 to 2020-21),Increase (%)
Area,13.6
Production,793
Productivity,279

Annual Growth in Wheat Production (since project started),4.72%
Year,Area (m ha),Production (mt),Productivity (kg/ha)
2020-21,31.62,109.52,3464
1964-65,13.42,12.26,913
1904-05,11.51,9.72,845

Zone,Area
North Western Plains Zone (NWPZ),"Punjab; Haryana; Delhi; Rajasthan (except Kota & Udaipur divisions); Western UP (except Jhansi division); Parts of J\&K (Jammu & Kathua); Parts of HP (Una & Paonta Valley); Uttarakhand (Tarai region)"
North Eastern Plains Zone (NEPZ),"Eastern UP; Bihar; Jharkhand; Odisha; West Bengal; Assam; Plains of North Eastern States"
Central Zone (CZ),"Madhya Pradesh; Chhattisgarh; Gujarat; Rajasthan (Kota & Udaipur divisions); Uttar Pradesh (Jhansi division)"
Peninsular Zone (PZ),"Maharashtra; Karnataka; Andhra Pradesh; Telangana; Goa; Tamil Nadu"
Northern Hills Zone (NHZ),"Western Himalayan regions of J\&K (except Jammu & Kathua districts); Himachal Pradesh (except Una & Paonta Valley); Uttarakhand (except Tarai); Sikkim; Hills of West Bengal & N.E. States"

Crop species,CVRC,SVRC,Total
Bread wheat (T. aestivum),293,169,462
Durum (T. durum),50,23,73
Dicoccum,6,1,7
Triticale,4,1,5
Total,353,193,546

Category,Varieties
Mega varieties up to 2012,"HD 2329; UP 2338; WH 542; PBW 343; PBW 550; DBW 17"
Varieties up to 2017,"HD 2967; WH 1105; HD 3086; DBW 88"

Category,Number of Varieties
Biofortified wheat varieties,9
